positive_score,negative_score,objective_score,word_count,adj_count,verb_count,noun_count,adv_count
0.092,0.059,0.586,19,2,10,4,3
0.077,0.032,0.764,71,12,22,26,11
0.036,0.062,0.705,269,36,78,131,24
0.074,0.046,0.812,89,13,28,37,11
0.116,0.05,0.731,58,6,15,28,9
0.11,0.018,0.788,83,17,23,38,5
0.074,0.025,0.827,147,22,46,67,12
0.031,0.026,0.339,154,8,16,126,4
0.093,0.047,0.789,99,8,36,36,19
0.055,0.071,0.627,77,5,27,32,13
0.07,0.038,0.771,66,11,17,25,13
0.079,0.053,0.816,19,3,6,10,0
0.065,0.031,0.736,179,17,49,88,25
0.089,0.064,0.636,104,16,35,29,24
0.0,0.0,0.0,138,4,1,133,0
0.059,0.072,0.763,19,2,7,6,4
0.033,0.028,0.673,49,12,11,22,4
0.062,0.02,0.759,44,7,14,18,5
0.13,0.057,0.688,24,5,5,9,5
0.073,0.076,0.711,172,16,59,74,23
0.086,0.053,0.757,38,3,15,12,8
0.036,0.04,0.803,123,17,40,55,11
0.054,0.076,0.826,23,2,8,9,4
0.113,0.038,0.811,53,8,19,21,5
0.075,0.028,0.742,45,7,19,16,3
0.146,0.076,0.667,18,5,5,5,3
0.047,0.026,0.444,29,3,2,23,1
0.026,0.039,0.81,151,28,35,84,4
0.1,0.056,0.804,51,12,15,15,9
0.086,0.06,0.784,29,3,10,12,4
0.1,0.06,0.794,237,45,74,86,32
0.072,0.064,0.742,66,10,15,38,3
0.075,0.049,0.709,425,69,128,181,47
0.079,0.083,0.73,74,11,20,34,9
0.045,0.034,0.654,551,63,136,304,48
0.092,0.034,0.796,178,22,63,61,32
0.031,0.023,0.304,176,10,22,137,7
0.096,0.045,0.768,98,14,27,48,9
0.059,0.033,0.682,53,7,13,21,12
0.088,0.06,0.734,84,15,22,34,13
0.056,0.045,0.694,448,74,130,171,73
0.078,0.013,0.846,48,8,16,16,8
0.059,0.056,0.788,301,27,108,118,48
0.071,0.051,0.765,195,29,66,81,19
0.071,0.015,0.771,42,5,13,19,5
